datum,proces,celkem,pozde
2025-09-05,1. Pick,53,52
2025-09-05,2. Pack,53,52
2025-09-05,3. Sort,53,52
2025-09-05,4. EXP (ČS),53,52
2025-09-05,5. EXP (DLT),53,52
2025-09-15,1. Pick,5259,3410
2025-09-15,2. Pack,5259,4299
2025-09-15,3. Sort,5260,4480
2025-09-15,4. EXP (ČS),5259,5180
2025-09-15,5. EXP (DLT),1666,1585
2025-09-15,7. BJ (ČS),142,138
2025-09-16,1. Pick,8905,375
2025-09-16,2. Pack,8905,479
2025-09-16,3. Sort,8905,938
2025-09-16,4. EXP (ČS),8905,2569
2025-09-16,5. EXP (DLT),9026,2111
2025-09-16,7. BJ (ČS),6558,4091
2025-09-17,1. Pick,8612,72
2025-09-17,2. Pack,8612,82
2025-09-17,3. Sort,8612,330
2025-09-17,4. EXP (ČS),8612,2213
2025-09-17,5. EXP (DLT),10045,150
2025-09-17,7. BJ (ČS),7194,2371
2025-09-18,1. Pick,9103,47
2025-09-18,2. Pack,9103,85
2025-09-18,3. Sort,9103,361
2025-09-18,4. EXP (ČS),9103,381
2025-09-18,5. EXP (DLT),9899,305
2025-09-18,7. BJ (ČS),7793,1198
2025-09-19,1. Pick,7961,11
2025-09-19,2. Pack,7961,50
2025-09-19,3. Sort,7961,123
2025-09-19,4. EXP (ČS),7961,56
2025-09-19,5. EXP (DLT),8995,48
2025-09-19,7. BJ (ČS),6577,453
2025-09-20,1. Pick,7832,29
2025-09-20,2. Pack,7832,42
2025-09-20,3. Sort,7832,250
2025-09-20,4. EXP (ČS),7832,41
2025-09-20,5. EXP (DLT),7827,38
2025-09-20,7. BJ (ČS),6215,102
2025-09-21,1. Pick,7955,30
2025-09-21,2. Pack,7955,58
2025-09-21,3. Sort,7955,347
2025-09-21,4. EXP (ČS),7955,167
2025-09-21,5. EXP (DLT),8102,168
2025-09-21,7. BJ (ČS),5544,229
2025-09-22,1. Pick,12711,395
2025-09-22,2. Pack,12711,541
2025-09-22,3. Sort,12711,1040
2025-09-22,4. EXP (ČS),12711,2163
2025-09-22,5. EXP (DLT),10594,906
2025-09-22,7. BJ (ČS),6477,1712
2025-09-23,1. Pick,16076,1032
2025-09-23,2. Pack,16076,1151
2025-09-23,3. Sort,16076,1943
2025-09-23,4. EXP (ČS),16149,2917
2025-09-23,5. EXP (DLT),15631,1028
2025-09-23,7. BJ (ČS),6898,1843
2025-09-24,1. Pick,19967,4690
2025-09-24,2. Pack,19967,8076
2025-09-24,3. Sort,19967,8890
2025-09-24,4. EXP (ČS),20081,7932
2025-09-24,5. EXP (DLT),18346,6698
